title,album,year,artist,genre,text,url,hero
Anaganaganaga,Aravindha Sametha,2018,Armaan Malik,Pop,anaganaganaga aravindha sametha armaan malik,https://www.jiosaavn.com/song/anaganaganaga/JiAYWzJacH4,
Seethakaalam,S/O Satyamurthy,2015,Yazin Nizar1080g (Rap),Classical,seethakaalam s/o satyamurthi yazin nizar1080g ( rap ),https://www.jiosaavn.com/song/seethakaalam/GC8EeC5pTgM,
Atu Nuvve,Current,2009,Devi Sri PrasadNeha Bhasin,Country,atu nuvv current devi sri prasadneha bhasin,https://www.jiosaavn.com/song/atu-nuvve/ByAIewx5f3E,
Ee Hridayam,Yemaaya Chesave,2010,Vijay PrakashSuzanne D'MelloA.R. RahmanBlaaze,Jazz,ee hridayam yemaaya chesav vijay prakashsuzann d'melloa.r . rahmanblaaz,https://www.jiosaavn.com/song/ee-hridayam/ATs-fDxyY34,
Pallavinchu Toli,Raja,2000,S.A. Raj KumarK. S. Chithra,Country,pallavinchu toli raja s.a. raj kumark . s. chithra,https://www.jiosaavn.com/song/pallavinchu-toli/BAwGAiAEfFQ,
Neelo Valapu,Robo,2010,A.R. RahmanVijay PrakashShreya Ghoshal,Hip-hop,neelo valapu robo a.r . rahmanvijay prakashshreya ghoshal,https://www.jiosaavn.com/song/neelo-valapu/Nx06XCsGVlg,
Jwala Reddy,Seetimaarr,2021,Shankar BabuMangli Satyavathi,Electronic,jwala reddi seetimaarr shankar babumangli satyavathi,https://www.jiosaavn.com/song/jwala-reddy/PSIyBCsDaGA,
Ninnele,Radhe Shyam,2022,Anurag KulkarniShreya Ghoshal,Classical,ninnel radh shyam anurag kulkarnishreya ghoshal,https://www.jiosaavn.com/song/ninnele/Fz8bdBtddR4,
Malli Malli Raani Roju,MAD,2023,Saicharan Bhaskaruni,Blues,malli malli raani roju mad saicharan bhaskaruni,https://www.jiosaavn.com/song/malli-malli-raani-roju/OSM9VhBzbUk,
Nammaka Tappani,Bommarillu,2000,Devi Sri PrasadSagar,Jazz,nammaka tappani bommarillu devi sri prasadsagar,https://www.jiosaavn.com/song/nammaka-tappani/Ml0zfxMFXFg,
Rakaasi Rakaasi,Rabhasa,2014,S. ThamanJr. N.T.R.,Hip-hop,rakaasi rakaasi rabhasa s. thamanjr . n.t.r .,https://www.jiosaavn.com/song/rakaasi-rakaasi/Q1BdXE1ofAM,
Vaaji Vaaji,Sivaji The Boss,2023,HariharanMadhusreeChorus,Classical,vaaji vaaji sivaji the boss hariharanmadhusreechoru,https://www.jiosaavn.com/song/vaaji-vaaji/FidcRERIBh4,
Praanam Naa Praanam,Rathnam,2024,Devi Sri PrasadKapil KapilanRanina Reddy,Blues,praanam naa praanam rathnam devi sri prasadkapil kapilanranina reddi,https://www.jiosaavn.com/song/praanam-naa-praanam/OxwzWD95fFE,
Ninu Choodaka,Vasantham,2003,S.A. Raj KumarHariharan,Hip-hop,ninu choodaka vasantham s.a. raj kumarhariharan,https://www.jiosaavn.com/song/ninu-choodaka/BycAWw5oWkE,
