title,album,year,artist,genre,text,url,hero
Anuvanuvuu,Om Bheem Bush,2024,Sunny M.R.Arijit Singh,Blues,anuvanuvuu om bheem bush sunni m.r.arijit singh,https://www.jiosaavn.com/song/anuvanuvuu/MSZaSwIHfGM,Sree Vishnu
Suttamla Soosi,Gangs Of Godavari,2024,Anurag KulkarniYuvan Shankar Raja,Jazz,suttamla soosi gang of godavari anurag kulkarniyuvan shankar raja,https://www.jiosaavn.com/song/suttamla-soosi/HgspeQMdVAY,Vishwak Sen
Ola Olaala Ala,Orange,2010,Ranina ReddyN.C. Karunya,Pop,ola olaala ala orang ranina reddyn.c . karunya,https://www.jiosaavn.com/song/ola-olaala-ala/PzcCZEVKQ1w,Ram Charan
Radhika,Tillu Square,2023,Ram Miriyala,Pop,radhika tillu squar ram miriyala,https://www.jiosaavn.com/song/radhika/IAEzZT9WZVw,Siddu Jonnalagadda
Nijame Ne Chebutunna,Ooru Peru Bhairavakona,2023,Sid Sriram,Classical,nijam ne chebutunna ooru peru bhairavakona sid sriram,https://www.jiosaavn.com/song/nijame-ne-chebutunna/MV8qcCFcXws,Sundeep Kishan
Oka Maru Kalisina Andam,Ghajini,2005,KarthikHarris Jayaraj,Electronic,oka maru kalisina andam ghajini karthikharri jayaraj,https://www.jiosaavn.com/song/oka-maru-kalisina-andam/Jy06REZnY2A,Suriya
College Papa,MAD,2023,Bheems CeciroleoVaramKeerthana SharmaGopika UdayanRam Nithin,Electronic,colleg papa mad bheem ceciroleovaramkeerthana sharmagopika udayanram nithin,https://www.jiosaavn.com/song/college-papa/JV8aA0QAYHw,Narne Nithin
O Rendu Prema Meghaalila (First Love Song),Baby,2023,Vijai BulganinSreerama Chandra,Rock,o rendu prema meghaalila ( first love song ) babi vijai bulganinsreerama chandra,https://www.jiosaavn.com/song/o-rendu-prema-meghaalila-first-love-song/KllSQCN7TQo,Anand Deverakonda
Mastaaru Mastaaru,Sir,2022,G.V. Prakash KumarShweta Mohan,Classical,mastaaru mastaaru sir g.v . prakash kumarshweta mohan,https://www.jiosaavn.com/song/mastaaru-mastaaru/JgQxaCZTUWI,Dhanush
Jalsa Jalsa,Jalsa,2008,Baba SehgalRita Thyagarajan,Electronic,jalsa jalsa jalsa baba sehgalrita thyagarajan,https://www.jiosaavn.com/song/jalsa-jalsa/AQQtYUN8QV4,Pawan Kalyan
Vellake,Vellake,2023,Bharatt-SaurabhYazin NizarAnirudh Ravichander,Electronic,vellak vellak bharatt-saurabhyazin nizaranirudh ravichand,https://www.jiosaavn.com/song/vellake/FzEmA0NhGnc,Vishwak Sen
Chamka Chamka,Chirutha,2007,Mani SharmaRanjithGeetha Madhuri,Hip-hop,chamka chamka chirutha mani sharmaranjithgeetha madhuri,https://www.jiosaavn.com/song/chamka-chamka/QTtdZzNSdHs,Ram Charan
Oororo Yogi,Yogi,2006,KarthikSunitha Upadrasta,Blues,oororo yogi yogi karthiksunitha upadrasta,https://www.jiosaavn.com/song/oororo-yogi/EjgteCt-Xl8,Prabhas
Mellaga,Varsham,2003,Devi Sri PrasadS.P. CharanSumangali,Blues,mellaga varsham devi sri prasads.p . charansumangali,https://www.jiosaavn.com/song/mellaga/XUUyRAJjBmc,Prabhas
Maha Muddu,Jai Chiranjeeva,2005,Mani SharmaShreya GhoshalKarthik,Electronic,maha muddu jai chiranjeeva mani sharmashreya ghoshalkarthik,https://www.jiosaavn.com/song/maha-muddu/GyoHQwB4bmk,Chiranjeevi
Chiguraku Chatu,Gudumba Shankar,2004,Mani SharmaSujatha MohanS.P. Charan,Rock,chiguraku chatu gudumba shankar mani sharmasujatha mohans.p . charan,https://www.jiosaavn.com/song/chiguraku-chatu/RVw4AxdxD2Q,Pawan Kalyan
Kurchi Madathapetti,Guntur Kaaram,2023,Mahesh BabuThaman SSri KrishnaSahithi Chaganti,Pop,kurchi madathapetti guntur kaaram mahesh babuthaman ssri krishnasahithi chaganti,https://www.jiosaavn.com/song/kurchi-madathapetti/MToeaRBITlg,Mahesh Babu
Kalalo Kooda,Liger (Telugu) (Original Motion Picture Soundtrack),2022,Tanishk BagchiSid SriramVaishnavi Kovvuri,Classical,kalalo kooda liger ( telugu ) ( origin motion pictur soundtrack ) tanishk bagchisid sriramvaishnavi kovvuri,https://www.jiosaavn.com/song/kalalo-kooda/NCNTAUxSA0s,Vijay Deverakonda
Ticket Eh Konakunda,Tillu Square,2023,Ram Miriyala,Classical,ticket eh konakunda tillu squar ram miriyala,https://www.jiosaavn.com/song/ticket-eh-konakunda/ET4ZQR5HaAQ,Siddu Jonnalagadda
Chiru Chiru,Awaara,2010,Yuvanshankar RajaHaricharanSagar Desai,Blues,chiru chiru awaara yuvanshankar rajaharicharansagar desai,https://www.jiosaavn.com/song/chiru-chiru/PCQtBC5IWWI,Karthi
Dum Masala,Guntur Kaaram,2023,Thaman SSanjith Hegde,Blues,dum masala guntur kaaram thaman ssanjith hegd,https://www.jiosaavn.com/song/dum-masala/CT00awwDWlU,Mahesh Babu
Konte Chooputho,Ananthapuram 1980,2013,Belly RajDeepaJames Vasanthan,Country,kont chooputho ananthapuram 1980 belli rajdeepajam vasanthan,https://www.jiosaavn.com/song/konte-chooputho/CSkZBDEIcWk,Allari Naresh
Po Ve Po - The Pain Of Love,3 (Telugu),2012,Anirudh RavichanderMohit Chauhan,Hip-hop,po ve po - the pain of love 3 ( telugu ) anirudh ravichandermohit chauhan,https://www.jiosaavn.com/song/po-ve-po-the-pain-of-love/QQ8eVhgAXUc,Dhanush
Adhento Gaani Vunnapaatuga,Jersey,2019,Anirudh Ravichander,Rock,adhento gaani vunnapaatuga jersey anirudh ravichand,https://www.jiosaavn.com/song/adhento-gaani-vunnapaatuga/FQ8af01efH8,Nani
Mr. Perfect,Aarya - 2,2009,Rita ThyagarajanDevi Sri PrasadBaba Sehgal,Jazz,mr. perfect aarya - 2 rita thyagarajandevi sri prasadbaba sehgal,https://www.jiosaavn.com/song/mr.-perfect/Ql4xVQdoBlY,Allu Arjun
Apudo Ipudo,Bommarillu,2000,Devi Sri PrasadSiddharth,Country,apudo ipudo bommarillu devi sri prasadsiddharth,https://www.jiosaavn.com/song/apudo-ipudo/Mg8aYRleW3c,Siddharth
Nuvvu Navvukuntu,MAD,2023,Kapil Kapilan,Jazz,nuvvu navvukuntu mad kapil kapilan,https://www.jiosaavn.com/song/nuvvu-navvukuntu/JVAibi0GbmE,Narne Nithin
Alloneredu Kalla,Seenu,2000,Mani SharmaK. S. ChithraParthasarathy,Hip-hop,alloneredu kalla seenu mani sharmak . s. chithraparthasarathi,"https://www.jiosaavn.com/song/alloneredu-kalla/QisvaCR,fGI",Venkatesh
Chinnaga Chinnaga,Tagore,2003,Mani SharmaK. S. ChithraHariharan,Hip-hop,chinnaga chinnaga tagor mani sharmak . s. chithrahariharan,https://www.jiosaavn.com/song/chinnaga-chinnaga/Ez46Y0JgUQQ,Chiranjeevi
Life Of Ram,Jaanu,2020,Pradeep Kumar,Pop,life of ram jaanu pradeep kumar,https://www.jiosaavn.com/song/life-of-ram/IToaZy5iblY,Sharwanand
Ismart Title Song,Ismart Shankar,2019,Anurag Kulkarni,Pop,ismart titl song ismart shankar anurag kulkarni,https://www.jiosaavn.com/song/ismart-title-song/EiJSSz9fcHs,Ram Pothineni
Niddura Potunna,Nuvve Nuvve,2002,KotiShankar Mahadevan,Jazz,niddura potunna nuvv nuvv kotishankar mahadevan,https://www.jiosaavn.com/song/niddura-potunna/RD9GVCVCVn8,Tarun
Nindu Punammi Vela,Nindu Punammi Vela,2022,Suman BadanakalSrinidhi Nerella,Rock,nindu punammi vela nindu punammi vela suman badanakalsrinidhi nerella,https://www.jiosaavn.com/song/nindu-punammi-vela/SF0jRjdibnI,Balakrishna
Sooseki (From &quot;Pushpa 2 The Rule&quot;),Sooseki (From &quot;Pushpa 2 The Rule&quot;),2024,Shreya GhoshalDevi Sri PrasadChandrabose,Pop,sooseki ( from & quot ; pushpa 2 the rule & quot ; ) sooseki ( from & quot ; pushpa 2 the rule & quot ; ) shreya ghoshaldevi sri prasadchandrabos,https://www.jiosaavn.com/song/sooseki-from-pushpa-2-the-rule/BDEFYDoBZVA,Allu Arjun
Maate Vinadhuga,Taxiwaala,2018,Sid Sriram,Blues,maat vinadhuga taxiwaala sid sriram,https://www.jiosaavn.com/song/maate-vinadhuga/Gw0DRCJeBXU,Vijay Deverakonda
Vikram Title Track (Telugu),Vikram Hitlist,2022,Anirudh RavichanderPrudhvi Chandra,Classical,vikram titl track ( telugu ) vikram hitlist anirudh ravichanderprudhvi chandra,https://www.jiosaavn.com/song/vikram-title-track-telugu/Qhw4VwxAT1k,Kamal Haasan
Tillu Anna DJ Pedithe,DJ Tillu,2022,Ram Miriyala,Pop,tillu anna dj pedith dj tillu ram miriyala,https://www.jiosaavn.com/song/tillu-anna-dj-pedithe/RScBVS0EUX4,Siddu Jonnalagadda
Nalupu,Kanchana,2011,Thaman SRita ThyagarajanSuchith Santoshan,Jazz,nalupu kanchana thaman srita thyagarajansuchith santoshan,https://www.jiosaavn.com/song/nalupu/RiMoaD54UwU,Raghava Lawrence
Fear Song - Telugu,Fear Song (From &quot;Devara Part 1&quot;) - Telugu,2024,Anirudh RavichanderRamajogayya Sastry,Pop,fear song ( from & quot ; devara part 1 & quot ; ) - telugu fear song ( from & quot ; devara part 1 & quot ; ) - telugu anirudh ravichanderramajogayya sastri,https://www.jiosaavn.com/song/fear-song-from-devara-part-1-telugu/CTkIZQVHAR4,Jr. NTR
Kollagottey,Remo (Telugu) [Original Motion Picture Soundtrack],2016,Anirudh Ravichander,Hip-hop,kollagottey remo ( telugu ) [ origin motion pictur soundtrack ] anirudh ravichand,https://www.jiosaavn.com/song/kollagottey/O1pSYTtUVUE,Sivakarthikeyan
Don'u Don'u Don'u,Maas,2016,Anirudh RavichanderSooraj SanthoshSrimathumitha,Hip-hop,don ' u don ' u don ' u maa anirudh ravichandersooraj santhoshsrimathumitha,https://www.jiosaavn.com/song/donu-donu-donu/NSpfCEZkcwM,Nagarjuna
Bhairava Anthem (From &quot;Kalki 2898 Ad&quot;) (Telugu),Bhairava Anthem (From &quot;Kalki 2898 Ad&quot;) (Telugu),2024,Diljit DosanjhDeepak BlueSanthosh Narayanan,Electronic,bhairava anthem ( from & quot ; kalki 2898 ad & quot ; ) ( telugu ) bhairava anthem ( from & quot ; kalki 2898 ad & quot ; ) ( telugu ) diljit dosanjhdeepak bluesanthosh narayanan,https://www.jiosaavn.com/song/bhairava-anthem-from-kalki-2898-ad-telugu/NDEDADV2REc,Prabhas
Niluvaddham,Nuvvostanante Nenoddantana,2014,KarthikSumangali,Jazz,niluvaddham nuvvostanant nenoddantana karthiksumangali,https://www.jiosaavn.com/song/niluvaddham/SSZeZgxGaHA,Siddharth
Pilla Padesaave,Love Today (Telugu) (Original Motion Picture Soundtrack),2022,Yuvanshankar RajaHaricharan,Pop,pilla padesaav love today ( telugu ) ( origin motion pictur soundtrack ) yuvanshankar rajaharicharan,https://www.jiosaavn.com/song/pilla-padesaave/H10RWhhZAQA,Pradeep Ranganathan
Oye Raju Kannullo,Aayudham,2003,Vandemataram SrinivasUdit NarayanUsha,Blues,oye raju kannullo aayudham vandemataram srinivasudit narayanusha,https://www.jiosaavn.com/song/oye-raju-kannullo/JFseQUVEc0o,Rajasekhar
Theme Of Kalki (From &quot;Kalki 2898 AD&quot;) (Telugu),Theme Of Kalki (From &quot;Kalki 2898 AD&quot;) (Telugu),2024,Chandra BoseKala BhairavaAnanthuGowtham Bharadwaj,Classical,theme of kalki ( from & quot ; kalki 2898 ad & quot ; ) ( telugu ) theme of kalki ( from & quot ; kalki 2898 ad & quot ; ) ( telugu ) chandra bosekala bhairavaananthugowtham bharadwaj,https://www.jiosaavn.com/song/theme-of-kalki-from-kalki-2898-ad-telugu/KTkYRBdaRUc,Prabhas
Choopultho Guchi,Idiot,2002,Shankar Mahadevan,Hip-hop,choopultho guchi idiot shankar mahadevan,https://www.jiosaavn.com/song/choopultho-guchi/AyYnSwBYTms,Ravi Teja
Kannuladha - The Kiss Of Love,3 (Telugu),2012,Anirudh RavichanderShruti HaasanDhanush,Blues,kannuladha - the kiss of love 3 ( telugu ) anirudh ravichandershruti haasandhanush,"https://www.jiosaavn.com/song/kannuladha-the-kiss-of-love/NCE,AA5VZlE",Dhanush
Ivala,Chirutha,2007,Mani SharmaKKSunitha,Hip-hop,ivala chirutha mani sharmakksunitha,https://www.jiosaavn.com/song/ivala/XRtadhgERmc,Ram Charan
Hoyna Hoyna,Gang Leader,2019,Anirudh RavichanderInno Genga,Classical,hoyna hoyna gang leader anirudh ravichanderinno genga,https://www.jiosaavn.com/song/hoyna-hoyna/IgoJeSt6XVI,Nani
Preminche Premava,Nuvvu Nenu Prema,2006,A.R. RahmanShreya GhoshalNaresh Ayar,Pop,preminch premava nuvvu nenu prema a.r . rahmanshreya ghoshalnaresh ayar,https://www.jiosaavn.com/song/preminche-premava/MyYCBTN1fQQ,Sree Vishnu
So So Ga,Manchi Rojulochaie,2021,Sid Sriram,Electronic,so so ga manchi rojulochai sid sriram,https://www.jiosaavn.com/song/so-so-ga/H1skUgN-e3I,Sree Vishnu
Tella Tellani Cheera,Deviputrudu,2000,Mani SharmaUdit NarayanSujatha Mohan,Electronic,tella tellani cheera deviputrudu mani sharmaudit narayansujatha mohan,https://www.jiosaavn.com/song/tella-tellani-cheera/GQ4lXzl-eUI,Vishal
Amma Paata,Amma Paata,2024,Janhavi Yerram,Jazz,amma paata amma paata janhavi yerram,https://www.jiosaavn.com/song/amma-paata/SCcuWTVjZGs,Jagapathi Babu
Oh Priya Priya,Ishq,2012,Anoop RubensAdnan SamiNithya Menen,Jazz,oh priya priya ishq anoop rubensadnan saminithya menen,https://www.jiosaavn.com/song/oh-priya-priya/Rx1ZaD8AD0s,Nithiin
Manassa,Munna,2007,Harris JayarajHaricharan,Country,manassa munna harri jayarajharicharan,https://www.jiosaavn.com/song/manassa/QF1SeSBiYX4,Prabhas
Priyathama Priyathama,Majili,2019,Chinmayi Sripaada,Blues,priyathama priyathama majili chinmayi sripaada,https://www.jiosaavn.com/song/priyathama-priyathama/CVAga00HYQY,Naga Chaitanya
Andhaala Nadhive,Kantara (Original Motion Picture Soundtrack - Telugu),2022,B. Ajaneesh LoknathChinmayi SripadaHaricharan,Country,andhaala nadhiv kantara ( origin motion pictur soundtrack - telugu ) b. ajaneesh loknathchinmayi sripadaharicharan,https://www.jiosaavn.com/song/andhaala-nadhive/SDhGQkJ-Ux4,Rishab Shetty
Cheppave Chirugali,Okkadu,2000,Mani SharmaUdit NarayanSujatha Mohan,Jazz,cheppav chirugali okkadu mani sharmaudit narayansujatha mohan,https://www.jiosaavn.com/song/cheppave-chirugali/ORsvBzNZWgs,Mahesh Babu
Mallieswarivey,Yuvasena,2004,Jassie Gift,Blues,mallieswarivey yuvasena jassi gift,https://www.jiosaavn.com/song/mallieswarivey/AiMOaDVFA0k,NTR Jr.
Oy..Oy,Oy!,2009,SiddharthPrasanthini,Electronic,oy .. oy oy ! siddharthprasanthini,https://www.jiosaavn.com/song/oy..oy/HlE6WQFmfXg,Siddharth
Dheemthanana,Urvasivo Rakshasivo,2022,Sid Sriram,Hip-hop,dheemthanana urvasivo rakshasivo sid sriram,https://www.jiosaavn.com/song/dheemthanana/PQU0YR17cQE,Allu Sirish
Naa Chupe Ninu,Nuvvu Naaku Nachchav,2001,KotiK. S. ChithraShreeram LagooPrabhu,Country,naa chupe ninu nuvvu naaku nachchav kotik . s. chithrashreeram lagooprabhu,https://www.jiosaavn.com/song/naa-chupe-ninu/XREkXUx1fGQ,Venkatesh
Proud'se Single,MAD,2023,Nakash AzizBheems Ceciroleo,Rock,proud's singl mad nakash azizbheem ceciroleo,https://www.jiosaavn.com/song/proudse-single/IloDVxxlBAI,Ravi Teja
Neekosam Neekosam,Preyasi Raave,1999,S.P. BalasubrahmanyamK. S. Chithra,Pop,neekosam neekosam preyasi raav s.p . balasubrahmanyamk . s. chithra,https://www.jiosaavn.com/song/neekosam-neekosam/QQMGfStxYUk,Srikanth
Hulala,Express Raja,2015,Sweekar AgasthiSilvia AnishaPraveen Lakkaraju,Country,hulala express raja sweekar agasthisilvia anishapraveen lakkaraju,https://www.jiosaavn.com/song/hulala/LzgoCUVGQl8,Sharwanand
Manasu Maree,V,2020,Amit TrivediShashaa TirupatiYazin Nizar,Blues,manasu mare v amit trivedishashaa tirupatiyazin nizar,https://www.jiosaavn.com/song/manasu-maree/OF48Zz8JAUI,Nani
Nee Kannu Neeli Samudram,Uppena,2020,Javed Ali,Blues,nee kannu neeli samudram uppena jave ali,https://www.jiosaavn.com/song/nee-kannu-neeli-samudram/SCUPBEdeVmE,Panja Vaisshnav Tej
Pushpa Pushpa (From &quot;Pushpa 2 The Rule&quot;) - Telugu,Pushpa Pushpa (From &quot;Pushpa 2 The Rule&quot;) - Telugu,2024,Nakash AzizDeepakDevi Sri PrasadChandrabose,Electronic,pushpa pushpa ( from & quot ; pushpa 2 the rule & quot ; ) - telugu pushpa pushpa ( from & quot ; pushpa 2 the rule & quot ; ) - telugu nakash azizdeepakdevi sri prasadchandrabos,https://www.jiosaavn.com/song/pushpa-pushpa-from-pushpa-2-the-rule-telugu/Fy0eCD8IcV8,Allu Arjun
Yemito,Andala Rakshasi,2012,Haricharan,Blues,yemito andala rakshasi haricharan,https://www.jiosaavn.com/song/yemito/QxAxdk1mX34,Naveen Chandra
Cheliya Cheliya,Gharshana (New),2004,Harris JayarajKKSuchitra,Rock,cheliya cheliya gharshana ( new ) harri jayarajkksuchitra,https://www.jiosaavn.com/song/cheliya-cheliya/E10BezgDTUY,Venkatesh
Uppenantha,Aarya - 2,2009,Devi Sri PrasadKK,Blues,uppenantha aarya - 2 devi sri prasadkk,https://www.jiosaavn.com/song/uppenantha/QA0aZD1bekM,Allu Arjun
Ammaye,Kushi,2001,Mani SharmaUdit NarayanKavita Krishnamurthy,Classical,ammay kushi mani sharmaudit narayankavita krishnamurthi,https://www.jiosaavn.com/song/ammaye/CC9ZXTVjQVo,Pawan Kalyan
Oh Sita Hey Rama,Sita Ramam (Telugu) (Original Motion Picture Soundtrack),2022,Vishal ChandrashekharS.P. CharanRamya Behara,Jazz,oh sita hey rama sita ramam ( telugu ) ( origin motion pictur soundtrack ) vishal chandrashekhars.p . charanramya behara,https://www.jiosaavn.com/song/oh-sita-hey-rama/BgoNRwNiAXg,Dulquer Salmaan
Teliyade Teliyade,Miles Of Love,2020,Sid SriramAditi Bhavaraju,Classical,teliyad teliyad mile of love sid sriramad bhavaraju,https://www.jiosaavn.com/song/teliyade-teliyade/OAA9QC5cT0Y,Nani
Humma Humma,Ooru Peru Bhairavakona,2023,Ram Miriyala,Country,humma humma ooru peru bhairavakona ram miriyala,https://www.jiosaavn.com/song/humma-humma/NT8PRRoGBXI,Sree Vishnu
Samajavaragamana - Male,Ala Vaikunthapurramuloo,2019,Sid Sriram,Rock,samajavaragamana - male ala vaikunthapurramuloo sid sriram,https://www.jiosaavn.com/song/samajavaragamana-male/FzIYeDVlWnw,Allu Arjun
Bullettu Bandi,Bullettu Bandi,2021,Mohana Bhogaraju,Jazz,bullettu bandi bullettu bandi mohana bhogaraju,https://www.jiosaavn.com/song/bullettu-bandi/ATJZXwJ0AlQ,Sudheer Babu
Chirunama Thana Chirunama,Ekkadiki Pothavu Chinnavada,2016,Yazin NizarKareemulla,Blues,chirunama thana chirunama ekkadiki pothavu chinnavada yazin nizarkareemulla,https://www.jiosaavn.com/song/chirunama-thana-chirunama/SDcyQkVFaGY,Nikhil Siddharth
Nee Yadalo Naaku,Awaara,2010,Yuvanshankar RajaSagar Desai,Jazz,nee yadalo naaku awaara yuvanshankar rajasagar desai,https://www.jiosaavn.com/song/nee-yadalo-naaku/JA48ARZSQwQ,Kiran Abbavaram
Bujji Theme (From &quot;Kalki 2898 AD&quot;),Bujji Theme (From &quot;Kalki 2898 AD&quot;),2024,Japhna GoldSanthosh NarayananPriya Ragu,Country,bujji theme ( from & quot ; kalki 2898 ad & quot ; ) bujji theme ( from & quot ; kalki 2898 ad & quot ; ) japhna goldsanthosh narayananpriya ragu,https://www.jiosaavn.com/song/bujji-theme-from-kalki-2898-ad/JSoNZj1RckE,Raghava Lawrence
Inkem Inkem Inkem Kaavaale,Geetha Govindam,2018,Sid Sriram,Country,inkem inkem inkem kaavaal geetha govindam sid sriram,https://www.jiosaavn.com/song/inkem-inkem-inkem-kaavaale/GCEmUCJFe0k,Vijay Deverakonda
Sokuladi Sittammi,Sokuladi Sittammi,2024,Sneha Katkuri,Rock,sokuladi sittammi sokuladi sittammi sneha katkuri,https://www.jiosaavn.com/song/sokuladi-sittammi/Hg5cWgJfZkE,Rajendra Prasad
Reddu Reddu,Alluda Mazaka,2000,KotiK. S. ChithraS.P. Balasubrahmanyam,Pop,reddu reddu alluda mazaka kotik . s. chithras.p . balasubrahmanyam,https://www.jiosaavn.com/song/reddu-reddu/ES88aBdjAkM,Rajendra Prasad
Ippatikinka,Pokiri,2006,Mani SharmaSuchitraMuralidar,Pop,ippatikinka pokiri mani sharmasuchitramuralidar,https://www.jiosaavn.com/song/ippatikinka/CSMCex51YHw,Mahesh Babu
Prema O Premaa,NGK (Telugu) (Original Motion Picture Soundtrack),2019,Sid SriramHemambika,Classical,prema o premaa ngk ( telugu ) ( origin motion pictur soundtrack ) sid sriramhemambika,https://www.jiosaavn.com/song/prema-o-premaa/NTBdezkHRWI,Suriya
Mawaa Enthaina,Guntur Kaaram,2023,Thaman SSri KrishnaRamachariRahul Sipligunj,Rock,mawaa enthaina guntur kaaram thaman ssri krishnaramacharirahul sipligunj,https://www.jiosaavn.com/song/mawaa-enthaina/QzgRSARSQUE,Mahesh Babu
Enniyallo,Abbaigari Pelli,2000,KotiK. S. ChithraS.P. Balasubrahmanyam,Jazz,enniyallo abbaigari pelli kotik . s. chithras.p . balasubrahmanyam,https://www.jiosaavn.com/song/enniyallo/IF5SVjB9R0o,Rajendra Prasad
Nuvvunte Naa Jathagaa,I - Manoharudu (Original Motion Picture Soundtrack),2014,A.R. RahmanSid SriramIssrath Quadhri,Classical,nuvvunt naa jathagaa i - manoharudu ( origin motion pictur soundtrack ) a.r . rahmansid sriramissrath quadhri,https://www.jiosaavn.com/song/nuvvunte-naa-jathagaa/IyINBDx1RAc,Vikram
Jennifer Lopez,Jalsa,2008,Benny DayalPriya,Pop,jennif lopez jalsa benni dayalpriya,https://www.jiosaavn.com/song/jennifer-lopez/ByE0ByRKdGo,Pawan Kalyan
Manasa Palakave,Subhakankshalu,2003,S. P. BalasubrahmanyamK. S. Chithra,Classical,manasa palakav subhakankshalu s. p. balasubrahmanyamk . s. chithra,https://www.jiosaavn.com/song/manasa-palakave/NSNTADsBB0M,Rajendra Prasad
Tharagathi Gadhi,Colour Photo,2020,Kaala Bhairava,Hip-hop,tharagathi gadhi colour photo kaala bhairava,https://www.jiosaavn.com/song/tharagathi-gadhi/Ii8mbjUJBV0,Sree Vishnu
Priyathama,Kotha Kothaga,2022,Sid Sriram,Country,priyathama kotha kothaga sid sriram,https://www.jiosaavn.com/song/priyathama/Mx8pbjJhc1U,Nithiin
My Heart,Jalsa,2008,KK,Electronic,my heart jalsa kk,https://www.jiosaavn.com/song/my-heart/MSAyRjVKUEc,Pawan Kalyan
Beast Mode,Beast,2022,Anirudh RavichanderSreerama Chandra,Electronic,beast mode beast anirudh ravichandersreerama chandra,https://www.jiosaavn.com/song/beast-mode/NAwKZx92c2s,Vijay
Dole Dole,Pokiri,2006,Mani SharmaRanjithSuchitra,Rock,dole dole pokiri mani sharmaranjithsuchitra,https://www.jiosaavn.com/song/dole-dole/KTsGVgBcc3k,Mahesh Babu
Souraa,Bharateeyudu 2 (Original Motion Picture Soundtrack),2024,Anirudh RavichanderRitesh G RaoShruthika Samudhrala,Pop,souraa bharateeyudu 2 ( origin motion pictur soundtrack ) anirudh ravichanderritesh g raoshruthika samudhrala,https://www.jiosaavn.com/song/souraa/FhEaXhtKbVs,Kamal Haasan
Rooba Rooba,Orange,2010,Chinmayi SripadaShahil Hada,Blues,rooba rooba orang chinmayi sripadashahil hada,https://www.jiosaavn.com/song/rooba-rooba/OiYYWzsIUkM,Ram Charan
Ye Kannulu Chudani Chitrame,Ardhashathabdam,2021,Sid Sriram,Electronic,ye kannulu chudani chitram ardhashathabdam sid sriram,https://www.jiosaavn.com/song/ye-kannulu-chudani-chitrame/HCRGVR1BYnA,Nithiin
The Karma Theme (Telugu (From &quot;U Turn&quot;)),The Karma Theme (Telugu (From &quot;U Turn&quot;)),2018,Anirudh Ravichander,Blues,the karma theme ( telugu ( from & quot ; u turn & quot ; ) ) the karma theme ( telugu ( from & quot ; u turn & quot ; ) ) anirudh ravichand,https://www.jiosaavn.com/song/the-karma-theme-telugu-from-u-turn/Qjtbfh4GZnk,Nithiin
Dhoom Dhaam,Dasara (Telugu),2023,Kasarla ShyamSanthosh NarayananRahul SipligunjGotte KanakavvaGannora Dasa LaxmiPalamuru JangireddyNarsanna (Nalgonda Gaddar),Pop,dhoom dhaam dasara ( telugu ) kasarla shyamsanthosh narayananrahul sipligunjgott kanakavvagannora dasa laxmipalamuru jangireddynarsanna ( nalgonda gaddar ),https://www.jiosaavn.com/song/dhoom-dhaam/IBI7ZhV6Ggo,Nani
Ta Takkara (Complex Song) (From &quot;Kalki 2898 AD&quot;) (Telugu),Ta Takkara (Complex Song) (From &quot;Kalki 2898 AD&quot;) (Telugu),2024,Sanjith HegdeDheeSanthosh Narayanan,Jazz,ta takkara ( complex song ) ( from & quot ; kalki 2898 ad & quot ; ) ( telugu ) ta takkara ( complex song ) ( from & quot ; kalki 2898 ad & quot ; ) ( telugu ) sanjith hegdedheesanthosh narayanan,https://www.jiosaavn.com/song/ta-takkara-complex-song-from-kalki-2898-ad-telugu/QjkAf0VZaFA,Raghava Lawrence
Hey Manasendukila,Ichata Vahanumulu Niluparadu,2021,Armaan MalikRamya Behara,Blues,hey manasendukila ichata vahanumulu niluparadu armaan malikramya behara,https://www.jiosaavn.com/song/hey-manasendukila/Ni0AfRkHbl8,Sree Vishnu
Jaragandi (From &quot;Game Changer&quot;) (Telugu),Jaragandi (From &quot;Game Changer&quot;) (Telugu),2024,Thaman SDaler MehndiSunidhi Chauhan,Hip-hop,jaragandi ( from & quot ; game changer & quot ; ) ( telugu ) jaragandi ( from & quot ; game changer & quot ; ) ( telugu ) thaman sdaler mehndisunidhi chauhan,https://www.jiosaavn.com/song/jaragandi-from-game-changer-telugu/GD4taSVVDl4,Ram Charan
Oh My Baby,Guntur Kaaram,2023,Thaman SShilpa Rao,Pop,oh my babi guntur kaaram thaman sshilpa rao,https://www.jiosaavn.com/song/oh-my-baby/FlsjdRNyVlI,Mahesh Babu
Kastha Ninu,Student No. 1,2000,S. P. BalasubrahmanyamK. S. Chithra,Hip-hop,kastha ninu student no . 1 s. p. balasubrahmanyamk . s. chithra,https://www.jiosaavn.com/song/kastha-ninu/FRE8dgZqdQM,NTR Jr.
My Love Is Gone,Aarya - 2,2009,K.G. RanjithDevi Sri Prasad,Hip-hop,my love is gone aarya - 2 k.g . ranjithdevi sri prasad,https://www.jiosaavn.com/song/my-love-is-gone/OTwuBSFqWQo,Allu Arjun
Daakko Daakko Meka,Pushpa - The Rise,2021,Sivam,Rock,daakko daakko meka pushpa - the rise sivam,https://www.jiosaavn.com/song/daakko-daakko-meka/GV1ScAdadVs,Allu Arjun
Naa Pranam,Shopping Mall,2010,G.V. Prakash KumarVijay AnthonyChinmayi SripadaHaricharan,Classical,naa pranam shop mall g.v . prakash kumarvijay anthonychinmayi sripadaharicharan,https://www.jiosaavn.com/song/naa-pranam/HgA9XDADWF0,Nithiin
